"","title","artist","label","source","rmd_file","capo","year","tempo","time"
"1","Dance me to the end of Love","Leonard Cohen","#selected-songs-dance-me-to-the-end-of-love","01_songs_input/01_Selected_Songs/dance_me_to_the_end_of_love.txt","02_songs_output/02_dance_me_to_the_end_of_love.Rmd",NA,NA,NA,NA
"2","Viva la Vida","Coldplay","#selected-songs-viva-la-vida","01_songs_input/01_Selected_Songs/viva_la_vida.txt","02_songs_output/03_viva_la_vida.Rmd","1",NA,NA,NA
"3","Hallelujah","Leonard Cohen","#selected-songs-hallelujah","01_songs_input/01_Selected_Songs/hallelujah.txt","02_songs_output/04_hallelujah.Rmd",NA,NA,NA,NA
"4","Mad World","Gary Jules","#selected-songs-mad-world","01_songs_input/01_Selected_Songs/mad_world.txt","02_songs_output/05_mad_world.Rmd",NA,"2001",NA,NA
"5","New Slang","The Shins","#selected-songs-new-slang","01_songs_input/01_Selected_Songs/new_slang.txt","02_songs_output/06_new_slang.Rmd",NA,NA,NA,NA
"6","All the World is Green","Tom Waits","#selected-songs-all-the-world-is-green","01_songs_input/01_Selected_Songs/all_the_world_is_green.txt","02_songs_output/07_all_the_world_is_green.Rmd",NA,NA,NA,NA
"7","Wagon Wheel","Old Crow Medicine Show","#selected-songs-wagon-wheel","01_songs_input/01_Selected_Songs/wagon_wheel.txt","02_songs_output/08_wagon_wheel.Rmd","2",NA,NA,NA
"8","For the Windows in Paradise","Sufjan Stevens","#selected-songs-windows-in-paradise","01_songs_input/01_Selected_Songs/windows_in_paradise.txt","02_songs_output/09_windows_in_paradise.Rmd",NA,"2003",NA,NA
"9","Build me up Buttercup","The Foundations","#selected-songs-build-me-up-buttercup","01_songs_input/01_Selected_Songs/build_me_up_buttercup.txt","02_songs_output/10_build_me_up_buttercup.Rmd",NA,NA,NA,NA
"10","I will follow you into the Dark","Death Cab for Cutie","#selected-songs-i-will-follow-you-into-the-dark","01_songs_input/01_Selected_Songs/i_will_follow_you_into_the_dark.txt","02_songs_output/11_i_will_follow_you_into_the_dark.Rmd","5",NA,NA,NA
"11","Winds of Change","Scorpions","#classics-wind-of-change","01_songs_input/02_Classics/wind_of_change.txt","02_songs_output/13_wind_of_change.Rmd",NA,"1991",NA,NA
"12","Sweet Home Alabama","Lynyrd Skynyrd","#classics-sweet-home-alabama","01_songs_input/02_Classics/sweet_home_alabama.txt","02_songs_output/14_sweet_home_alabama.Rmd",NA,NA,NA,NA
"13","California Dreaming","the Mamas and the Papas","#classics-calafornia-dreaming","01_songs_input/02_Classics/calafornia_dreaming.txt","02_songs_output/15_calafornia_dreaming.Rmd",NA,NA,NA,NA
"14","Ein Bett im Kornfeld","Jürgen Drews","#classics-ein-bett-im-kornfeld","01_songs_input/02_Classics/ein_bett_im_kornfeld.txt","02_songs_output/16_ein_bett_im_kornfeld.Rmd",NA,NA,NA,NA
"15","Boulevard of Broken Dreams","Green Day","#classics-boulevard-of-broken-dreams","01_songs_input/02_Classics/boulevard_of_broken_dreams.txt","02_songs_output/17_boulevard_of_broken_dreams.Rmd",NA,NA,NA,NA
"16","Lemon Tree","Fools Garden","#classics-lemon-tree","01_songs_input/02_Classics/lemon_tree.txt","02_songs_output/18_lemon_tree.Rmd","1","1996","115 bpm",NA
"17","Where have all the flowers Gone?","Peter Paul and Mary","#classics-where-have-all-the-flowers-gone","01_songs_input/02_Classics/where_have_all_the_flowers_gone.txt","02_songs_output/19_where_have_all_the_flowers_gone.Rmd",NA,"1962",NA,NA
"18","Sound of Silence","Simon and Garfunkel","#classics-sound-of-silence","01_songs_input/02_Classics/sound_of_silence.txt","02_songs_output/20_sound_of_silence.Rmd","6","1964",NA,NA
"19","Blowing in the Wind","Bob Dylan","#classics-blowing-in-the-wind","01_songs_input/02_Classics/blowing_in_the_wind.txt","02_songs_output/21_blowing_in_the_wind.Rmd",NA,NA,NA,NA
"20","Moring has broken","Cat Stevens","#classics-morning-has-broken","01_songs_input/02_Classics/morning_has_broken.txt","02_songs_output/22_morning_has_broken.Rmd",NA,NA,NA,NA
"21","Dust in the Wind","Kansas","#classics-dust-in-the-wind","01_songs_input/02_Classics/dust_in_the_wind.txt","02_songs_output/23_dust_in_the_wind.Rmd",NA,NA,NA,NA
"22","House of the Rising Sun","The Animals","#classics-house-of-the-rising-sun","01_songs_input/02_Classics/house_of_the_rising_sun.txt","02_songs_output/24_house_of_the_rising_sun.Rmd",NA,"1964",NA,NA
"23","Hurt","Johnny Cash","#classics-hurt","01_songs_input/02_Classics/hurt.txt","02_songs_output/25_hurt.Rmd",NA,NA,NA,NA
"24","Streets of London","Ralph McTell","#classics-streets-of-london","01_songs_input/02_Classics/streets_of_london.txt","02_songs_output/26_streets_of_london.Rmd",NA,"1967",NA,NA
"25","Der Mond ist aufgegangen","Matthias Claudius","#mundart-und-deutsch-der-mond","01_songs_input/03_Mundart_und_Deutsch/der_Mond.txt","02_songs_output/28_der_Mond.Rmd",NA,"1779",NA,NA
"26","Det äne am Bergli","vo Bern","#mundart-und-deutsch-det-ane-am-bergli","01_songs_input/03_Mundart_und_Deutsch/det_ane_am_Bergli.txt","02_songs_output/29_det_ane_am_Bergli.Rmd",NA,NA,NA,NA
